event_id,user_id,event_timestamp,event_type,session_id,page_url,product_id
1,1001,2023-08-02 14:55:05,account_created,1000,/signup,
2,1001,2024-02-09 20:01:59,page_view,1002,/about,
3,1001,2024-02-09 20:03:59,page_view,1002,/home,
4,1001,2024-02-09 20:05:59,page_view,1002,/about,
5,1001,2024-02-09 20:11:59,product_viewed,1002,/product/5152,5152
6,1001,2024-02-09 20:21:59,add_to_cart,1002,/product/5152,5152
7,1001,2024-08-30 03:25:24,page_view,1003,/deals,
8,1001,2024-08-30 03:27:24,page_view,1003,/products,
9,1001,2024-08-30 03:35:24,product_viewed,1003,/product/5057,5057
10,1001,2024-08-30 03:38:24,product_viewed,1003,/product/5115,5115
11,1001,2024-08-30 03:41:24,product_viewed,1003,/product/5151,5151
12,1001,2024-08-30 03:44:24,product_viewed,1003,/product/5072,5072
13,1001,2024-08-30 03:45:24,add_to_cart,1003,/product/5115,5115
14,1001,2024-08-30 03:50:24,initiate_checkout,1003,/checkout,
15,1001,2024-08-30 03:55:24,purchase,1003,/checkout/complete,
16,1001,2024-06-26 21:01:17,page_view,1004,/products,
17,1001,2024-06-26 21:03:17,page_view,1004,/products,
18,1001,2024-06-26 21:05:17,page_view,1004,/category/electronics,
19,1001,2024-06-26 21:07:17,page_view,1004,/home,
20,1001,2024-06-26 21:11:17,product_viewed,1004,/product/5098,5098
21,1001,2024-04-26 18:43:02,page_view,1005,/home,
22,1001,2024-04-26 18:45:02,page_view,1005,/about,
23,1001,2024-04-26 18:47:02,page_view,1005,/category/clothing,
24,1001,2024-04-26 18:49:02,page_view,1005,/deals,
25,1001,2024-04-26 18:53:02,product_viewed,1005,/product/5097,5097
26,1001,2024-03-18 08:09:26,page_view,1006,/deals,
27,1001,2024-03-18 08:11:26,page_view,1006,/products,
28,1001,2024-03-18 08:13:26,page_view,1006,/about,
29,1001,2024-03-18 08:15:26,page_view,1006,/home,
30,1001,2024-03-18 08:19:26,product_viewed,1006,/product/5170,5170
31,1001,2024-03-15 09:30:02,page_view,1007,/home,
32,1001,2024-03-15 09:32:02,page_view,1007,/category/clothing,
33,1001,2024-03-15 09:34:02,page_view,1007,/category/electronics,
34,1001,2024-03-15 09:40:02,product_viewed,1007,/product/5163,5163
35,1001,2024-03-15 09:43:02,product_viewed,1007,/product/5094,5094
36,1001,2024-03-15 09:46:02,product_viewed,1007,/product/5042,5042
37,1001,2024-03-15 09:49:02,product_viewed,1007,/product/5095,5095
38,1001,2024-03-15 09:50:02,add_to_cart,1007,/product/5042,5042
39,1001,2024-03-15 09:50:02,add_to_cart,1007,/product/5095,5095
40,1001,2024-03-15 09:50:02,add_to_cart,1007,/product/5163,5163
41,1001,2024-03-15 09:52:02,cart_abandoned,1007,/cart,
42,1001,2023-12-14 13:10:25,page_view,1008,/products,
43,1001,2023-12-14 13:12:25,page_view,1008,/category/clothing,
44,1001,2023-12-14 13:14:25,page_view,1008,/category/clothing,
45,1001,2023-12-14 13:20:25,product_viewed,1008,/product/5164,5164
46,1001,2023-12-14 13:23:25,product_viewed,1008,/product/5177,5177
47,1001,2023-12-14 13:26:25,product_viewed,1008,/product/5143,5143
48,1001,2024-04-11 11:59:10,page_view,1009,/products,
49,1001,2024-04-11 12:01:10,page_view,1009,/home,
50,1001,2024-04-11 12:09:10,product_viewed,1009,/product/5103,5103
